question,record,ThemeLabel,Definition,Keywords,response
Q24,1000014,Cheap Product Quality,Participants express concerns about the low quality of products sold by Temu.,"cheap, low quality, poor quality, junk, inferior",cheap goods/ China
Q24,1000020,Cheap Product Quality,Participants express concerns about the low quality of products sold by Temu.,"cheap, low quality, poor quality, junk, inferior",Don't sell good high quality products
Q24,1000021,Cheap Product Quality,Participants express concerns about the low quality of products sold by Temu.,"cheap, low quality, poor quality, junk, inferior",Most of the items for sale are cheap
Q24,1000046,Cheap Product Quality,Participants express concerns about the low quality of products sold by Temu.,"cheap, low quality, poor quality, junk, inferior",Cheap products dont last long
Q24,1000050,Cheap Product Quality,Participants express concerns about the low quality of products sold by Temu.,"cheap, low quality, poor quality, junk, inferior",Poor quality of products
Q24,1000056,Cheap Product Quality,Participants express concerns about the low quality of products sold by Temu.,"cheap, low quality, poor quality, junk, inferior", 
Q24,1000058,Cheap Product Quality,Participants express concerns about the low quality of products sold by Temu.,"cheap, low quality, poor quality, junk, inferior",Cheap Chinese goods
Q24,1000065,Cheap Product Quality,Participants express concerns about the low quality of products sold by Temu.,"cheap, low quality, poor quality, junk, inferior",Poor quality
Q24,1000066,Cheap Product Quality,Participants express concerns about the low quality of products sold by Temu.,"cheap, low quality, poor quality, junk, inferior",I received a broken key holder and never got a refund. The quality of clothes are poor.  The toys were cheap and broke soon after getting.
Q24,1000086,Cheap Product Quality,Participants express concerns about the low quality of products sold by Temu.,"cheap, low quality, poor quality, junk, inferior",Cheap Chinese products
Q24,1000091,Cheap Product Quality,Participants express concerns about the low quality of products sold by Temu.,"cheap, low quality, poor quality, junk, inferior","They sell lowly quality junk. Also, they played the same commercial during the Super Bowl for what felt like a hundred times (I think it was actually about 5 or 6). The song was so annoying and distracting. I havent forgiven them for trying to ruin the Super Bowl."
Q24,1000093,Cheap Product Quality,Participants express concerns about the low quality of products sold by Temu.,"cheap, low quality, poor quality, junk, inferior",Low quality products and low standard for information security
Q24,1000103,Cheap Product Quality,Participants express concerns about the low quality of products sold by Temu.,"cheap, low quality, poor quality, junk, inferior",Because I feel like they sell junk.
Q24,1000104,Cheap Product Quality,Participants express concerns about the low quality of products sold by Temu.,"cheap, low quality, poor quality, junk, inferior",The items are cheaply made
Q24,1000108,Cheap Product Quality,Participants express concerns about the low quality of products sold by Temu.,"cheap, low quality, poor quality, junk, inferior",They sell cheap garbage that usually doesnt look like the item you are buying.
Q24,1000115,Cheap Product Quality,Participants express concerns about the low quality of products sold by Temu.,"cheap, low quality, poor quality, junk, inferior",It's just knock off garbage
Q24,1000121,Cheap Product Quality,Participants express concerns about the low quality of products sold by Temu.,"cheap, low quality, poor quality, junk, inferior", 
Q24,1000128,Cheap Product Quality,Participants express concerns about the low quality of products sold by Temu.,"cheap, low quality, poor quality, junk, inferior",I think that Temu's products are cheaply made and poorer quality than other sites.
Q24,1000139,Cheap Product Quality,Participants express concerns about the low quality of products sold by Temu.,"cheap, low quality, poor quality, junk, inferior",Ive heard that they scam their customers.
Q24,1000180,Cheap Product Quality,Participants express concerns about the low quality of products sold by Temu.,"cheap, low quality, poor quality, junk, inferior",
Q24,1000190,Cheap Product Quality,Participants express concerns about the low quality of products sold by Temu.,"cheap, low quality, poor quality, junk, inferior",
Q24,1000225,Cheap Product Quality,Participants express concerns about the low quality of products sold by Temu.,"cheap, low quality, poor quality, junk, inferior",Cheap and simple products
Q24,1000240,Cheap Product Quality,Participants express concerns about the low quality of products sold by Temu.,"cheap, low quality, poor quality, junk, inferior",Bad customer service
Q24,1000283,Cheap Product Quality,Participants express concerns about the low quality of products sold by Temu.,"cheap, low quality, poor quality, junk, inferior",poor quality products and dubious likelihood of delivery
Q24,1000290,Cheap Product Quality,Participants express concerns about the low quality of products sold by Temu.,"cheap, low quality, poor quality, junk, inferior",Poor quality and negative reviews as well as long shipping time
Q24,1000292,Cheap Product Quality,Participants express concerns about the low quality of products sold by Temu.,"cheap, low quality, poor quality, junk, inferior",Poor quality products
Q24,1000294,Cheap Product Quality,Participants express concerns about the low quality of products sold by Temu.,"cheap, low quality, poor quality, junk, inferior",products are cheaply made and I dont believe they are safe to use
Q24,1000318,Cheap Product Quality,Participants express concerns about the low quality of products sold by Temu.,"cheap, low quality, poor quality, junk, inferior","The products I've purchased are not what's advertised overall low,low quality products"
Q24,1000326,Cheap Product Quality,Participants express concerns about the low quality of products sold by Temu.,"cheap, low quality, poor quality, junk, inferior",They have cheaply made Chinese products.
Q24,1000335,Cheap Product Quality,Participants express concerns about the low quality of products sold by Temu.,"cheap, low quality, poor quality, junk, inferior",Definitely very bad quality products
Q24,1000340,Cheap Product Quality,Participants express concerns about the low quality of products sold by Temu.,"cheap, low quality, poor quality, junk, inferior",They sell cheap junk and contribute to the decline of our environment.
Q24,1000344,Cheap Product Quality,Participants express concerns about the low quality of products sold by Temu.,"cheap, low quality, poor quality, junk, inferior",The stuff they sale is usually cheap and not good quality.
Q24,1000591,Cheap Product Quality,Participants express concerns about the low quality of products sold by Temu.,"cheap, low quality, poor quality, junk, inferior",their productsw are very cheap
Q24,1000596,Cheap Product Quality,Participants express concerns about the low quality of products sold by Temu.,"cheap, low quality, poor quality, junk, inferior",Chinese junk dealer
Q24,1000601,Cheap Product Quality,Participants express concerns about the low quality of products sold by Temu.,"cheap, low quality, poor quality, junk, inferior",good prices but cheap merchandise
Q24,1000605,Cheap Product Quality,Participants express concerns about the low quality of products sold by Temu.,"cheap, low quality, poor quality, junk, inferior",Cheap products
Q24,1000690,Cheap Product Quality,Participants express concerns about the low quality of products sold by Temu.,"cheap, low quality, poor quality, junk, inferior", 
Q24,1000714,Cheap Product Quality,Participants express concerns about the low quality of products sold by Temu.,"cheap, low quality, poor quality, junk, inferior", 
Q24,1000720,Cheap Product Quality,Participants express concerns about the low quality of products sold by Temu.,"cheap, low quality, poor quality, junk, inferior",SAME AS SHEIN DEFECTIVE AND LOW QUALITY PRODUCTS
Q24,1000801,Cheap Product Quality,Participants express concerns about the low quality of products sold by Temu.,"cheap, low quality, poor quality, junk, inferior",Low quality items at cheap prices. You get what you pay for and I see buying from them as money wasted.
Q24,1000814,Cheap Product Quality,Participants express concerns about the low quality of products sold by Temu.,"cheap, low quality, poor quality, junk, inferior",The stuff you buy is not good products.
Q24,1000841,Cheap Product Quality,Participants express concerns about the low quality of products sold by Temu.,"cheap, low quality, poor quality, junk, inferior", 
Q24,1000854,Cheap Product Quality,Participants express concerns about the low quality of products sold by Temu.,"cheap, low quality, poor quality, junk, inferior",They sell cheap junk.
Q24,1000860,Cheap Product Quality,Participants express concerns about the low quality of products sold by Temu.,"cheap, low quality, poor quality, junk, inferior", 
Q24,1000865,Cheap Product Quality,Participants express concerns about the low quality of products sold by Temu.,"cheap, low quality, poor quality, junk, inferior",Have ordered things from there not good quality
Q24,1000964,Cheap Product Quality,Participants express concerns about the low quality of products sold by Temu.,"cheap, low quality, poor quality, junk, inferior",The product quality is quite questionable.
Q24,1000993,Cheap Product Quality,Participants express concerns about the low quality of products sold by Temu.,"cheap, low quality, poor quality, junk, inferior",Cheap quality of products
Q24,1001000,Cheap Product Quality,Participants express concerns about the low quality of products sold by Temu.,"cheap, low quality, poor quality, junk, inferior","Products are cheap quality, to the point where they fall apart the minute you touch them."
Q24,1001105,Cheap Product Quality,Participants express concerns about the low quality of products sold by Temu.,"cheap, low quality, poor quality, junk, inferior",I have a unfavoare cheap and very unfavorable impression of Temu because it the products are cheap and low quality.
Q24,1001151,Cheap Product Quality,Participants express concerns about the low quality of products sold by Temu.,"cheap, low quality, poor quality, junk, inferior",The quality of the products
Q24,1001262,Cheap Product Quality,Participants express concerns about the low quality of products sold by Temu.,"cheap, low quality, poor quality, junk, inferior",It mainly sells very cheap and questionable quality of products from China.
Q24,1001321,Cheap Product Quality,Participants express concerns about the low quality of products sold by Temu.,"cheap, low quality, poor quality, junk, inferior",Because they have unfair labor practices and their merchandise is garbage.
Q24,1001356,Cheap Product Quality,Participants express concerns about the low quality of products sold by Temu.,"cheap, low quality, poor quality, junk, inferior", 
Q24,1001756,Cheap Product Quality,Participants express concerns about the low quality of products sold by Temu.,"cheap, low quality, poor quality, junk, inferior",I've heard that Temu may have been spying on their users by harvesting their data.
Q24,2000027,Cheap Product Quality,Participants express concerns about the low quality of products sold by Temu.,"cheap, low quality, poor quality, junk, inferior", 
Q24,2000054,Cheap Product Quality,Participants express concerns about the low quality of products sold by Temu.,"cheap, low quality, poor quality, junk, inferior",Temu is a Chinese company.  I don't favor buying anything from China.
Q24,2000121,Cheap Product Quality,Participants express concerns about the low quality of products sold by Temu.,"cheap, low quality, poor quality, junk, inferior","It's also cheap, crappy stuff."
Q24,2000136,Cheap Product Quality,Participants express concerns about the low quality of products sold by Temu.,"cheap, low quality, poor quality, junk, inferior","They sell Chinese products , some are real crap"
Q24,2000203,Cheap Product Quality,Participants express concerns about the low quality of products sold by Temu.,"cheap, low quality, poor quality, junk, inferior",Sells cheap merchandise
Q24,2000221,Cheap Product Quality,Participants express concerns about the low quality of products sold by Temu.,"cheap, low quality, poor quality, junk, inferior",It is China goods
Q24,2000247,Cheap Product Quality,Participants express concerns about the low quality of products sold by Temu.,"cheap, low quality, poor quality, junk, inferior", 
Q24,2000305,Cheap Product Quality,Participants express concerns about the low quality of products sold by Temu.,"cheap, low quality, poor quality, junk, inferior",Cheap products that break and contribute to environmental degradation
Q24,2000311,Cheap Product Quality,Participants express concerns about the low quality of products sold by Temu.,"cheap, low quality, poor quality, junk, inferior",Poor practices of child and cheap labor is the reason I dont have a positive image of Temu.
Q24,2000362,Cheap Product Quality,Participants express concerns about the low quality of products sold by Temu.,"cheap, low quality, poor quality, junk, inferior",their products are cheap and made from toxic materials
Q24,2000862,Cheap Product Quality,Participants express concerns about the low quality of products sold by Temu.,"cheap, low quality, poor quality, junk, inferior", 
